company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
Sally Beauty Holdings,707,,3875,239.9,,Retailing,Denton,TX,no,no,yes,yes
Enovis,708,,3854.3,71.7,,Industrials,Wilmington,DE,no,no,no,yes
IAC,709,,3845.1,597.5,,Technology,New York,NY,no,no,no,yes
Meritor,710,,3833,199,,Motor Vehicles & Parts,Troy,MI,no,no,no,yes
American Water Works,702,,3930,1263,,Energy,Camden,NJ,no,no,yes,yes
Matson,703,,3925.3,927.4,,Transportation,Honolulu,HI,no,no,no,yes
Diebold Nixdorf,704,,3905.2,-78.8,,Technology,Hudson,OH,no,no,no,no
Marriott Vacations Worldwide,705,,3890,49,,"Hotels, Restaurants & Leisure",Orlando,FL,no,no,no,yes
APi Group,701,,3940,47,,Engineering & Construction,New Brighton,MN,no,no,no,yes
Align Technology,699,,3952.6,772,,Health Care,Tempe,AZ,no,no,no,yes
loanDepot,700,,3943.2,113.5,,Financials,Foothill Ranch,CA,no,no,no,yes
Mercury General,693,,3993.4,247.9,,Financials,Los Angeles,CA,no,no,no,yes
AMN Healthcare Services,694,,3984.2,327.4,,Health Care,Dallas,TX,no,no,yes,yes
Tri Pointe Homes,695,,3982.2,469.3,,Engineering & Construction,Incline Village,NV,no,no,no,yes
ArcBest,696,,3980.1,213.5,,Transportation,Fort Smith,AR,no,no,yes,yes
Toro,697,,3959.6,409.9,,Industrials,Bloomington,MN,no,no,no,yes
Spirit AeroSystems Holdings,698,,3953,-540.8,,Aerospace & Defense,Wichita,KS,no,no,no,no
Peloton Interactive,689,,4021.8,-189,,"Hotels, Restaurants & Leisure",New York,NY,no,no,no,no
Country Financial,690,,4016.2,419.2,,Financials,Bloomington,IL,no,no,no,yes
Qorvo,691,,4015.3,733.6,,Technology,Greensboro,NC,no,no,no,yes
Catalent,692,,3998,585,,Health Care,Somerset,NJ,no,no,no,yes
Snap,683,,4117,-488,,Technology,Santa Monica,CA,no,yes,no,no
Zoom Video Communications,684,,4099.9,1375.6,,Technology,San Jose,CA,no,yes,no,yes
Patrick Industries,685,,4078.1,224.9,,Materials,Elkhart,IN,no,no,no,yes
Paychex,686,,4056.8,1097.5,,Business Services,Rochester,NY,no,no,no,yes
Atlas Air Worldwide Holdings,687,,4030.8,493.3,,Transportation,Purchase,NY,no,no,no,yes
Conduent,678,,4140,-28,,Business Services,Florham Park,NJ,no,no,no,no
Timken,679,,4132.9,369.1,,Industrials,North Canton,OH,no,no,no,yes
Domtar,680,,4132,-27,,Materials,Fort Mill,SC,no,no,no,no
Bloomin' Brands,681,,4122.4,215.6,,"Hotels, Restaurants & Leisure",Tampa,FL,no,no,no,yes
CNO Financial Group,682,,4122.2,441,,Financials,Carmel,IN,no,no,no,yes
Century Communities,673,,4216.3,498.5,,Engineering & Construction,Greenwood Village,CO,no,yes,no,yes
Synopsys,674,,4204.2,757.5,,Technology,Mountain View,CA,no,yes,no,yes
Brink's,675,,4200.2,105.2,,Business Services,Richmond,VA,no,no,no,yes
Lennox International,676,,4194.1,464,,Industrials,Richardson,TX,no,no,no,yes
Service Corp. International,677,,4143.1,802.9,,Business Services,Houston,TX,no,no,no,yes
Dentsply Sirona,668,,4251,421,,Health Care,Charlotte,NC,no,no,no,yes
Hub Group,669,,4232.4,171.5,,Transportation,Oak Brook,IL,no,no,no,yes
